,Voltage,Voltage-error,Current,Current-error,Power,Power-error,Resistance,Fill Factor
0,6.358064516129032,0.006842968850192452,0.00034317089910775565,0.00024265846986497853,0.00218522372528616,0.001545186514559573,6.358064516129032,0.5961824161637689
1,6.358064516129032,0.020528906550577354,0.0,0.0,0.0,0.0,6.358064516129032,0.5961824161637689
2,6.348387096774193,0.013685937700384903,0.00034317089910775565,0.00024265846986497853,0.00218522372528616,0.001545186514559573,6.348387096774193,0.5961824161637689
3,6.377419354838709,0.01368593770038459,0.0,0.0,0.0,0.0,6.377419354838709,0.5961824161637689
4,6.406451612903226,0.0,0.0,0.0,0.0,0.0,6.406451612903226,0.5961824161637689
5,6.469354838709677,0.06500820407682767,0.004118050789293068,0.0024265846986497855,0.026956627626364377,0.015966144547857955,6.469354838709677,0.5961824161637689
6,6.3435483870967735,0.023950390975673582,0.00034317089910775565,0.00024265846986497853,0.0021885447339872028,0.0015475348223324597,6.3435483870967735,0.5961824161637689
7,6.391935483870967,0.010264453275288677,0.00034317089910775565,0.00024265846986497853,0.002198507760090331,0.0015545797456511204,6.391935483870967,0.5961824161637689
8,6.382258064516129,0.003421484425096226,0.00034317089910775565,0.00024265846986497853,0.002191865742688246,0.0015498831301053468,6.382258064516129,0.5961824161637689
9,6.396774193548387,0.013685937700384903,0.008236101578586135,0.0053384863370295275,0.05253835765049703,0.03403637286022256,6.396774193548387,0.5961824161637689
10,6.362903225806451,0.003421484425096226,0.00034317089910775565,0.00024265846986497853,0.002181902716585117,0.0015428382067866858,6.362903225806451,0.5961824161637689
11,6.382258064516129,0.01710742212548113,0.0017158544955387781,0.0007279754095949355,0.010975933756946442,0.0046754807758177955,6.382258064516129,0.5961824161637689
12,6.348387096774193,0.03421484425096195,0.00034317089910775565,0.00024265846986497853,0.0021619766643788604,0.0015287483601493647,6.348387096774193,0.5961824161637689
13,6.348387096774193,0.027371875400769807,0.0,0.0,0.0,0.0,6.348387096774193,0.5961824161637689
14,6.382258064516129,0.01710742212548113,0.0013726835964310226,0.000485316939729957,0.00877742599685611,0.003120901030166675,6.382258064516129,0.5961824161637689
15,6.348387096774193,0.006842968850192452,0.01098146877144818,0.007765071035679313,0.069608342373857,0.04922053091970918,6.348387096774193,0.5961824161637689
16,6.3677419354838705,0.006842968850192452,0.0,0.0,0.0,0.0,6.3677419354838705,0.5961824161637689
17,6.3435483870967735,0.023950390975673582,0.0006863417982155113,0.0,0.004353842407067106,1.643815441020832e-05,6.3435483870967735,0.5961824161637689
18,6.387096774193548,0.0,0.0,0.0,0.0,0.0,6.387096774193548,0.5961824161637689
19,6.3677419354838705,0.0,0.0,0.0,0.0,0.0,6.3677419354838705,0.5961824161637689
20,6.324193548387097,0.003421484425095912,0.0006863417982155113,0.0,0.004340558372262935,2.3483077728867718e-06,6.324193548387097,0.5961824161637689
21,6.377419354838709,0.01368593770038459,0.0,0.0,0.0,0.0,6.377419354838709,0.5961824161637689
22,6.348387096774193,0.027371875400769807,0.0013726835964310226,0.0009706338794599141,0.008767462970752983,0.006199532520421387,6.348387096774193,0.5961824161637689
23,6.329032258064515,0.006842968850192138,0.0,0.0,0.0,0.0,6.329032258064515,0.5961824161637689
24,6.3677419354838705,0.020528906550577042,0.0,0.0,0.0,0.0,6.3677419354838705,0.5961824161637689
25,6.36290322580645,0.023950390975673266,0.0,0.0,0.0,0.0,6.36290322580645,0.5961824161637689
26,6.329032258064515,0.006842968850192138,0.00034317089910775565,0.00024265846986497853,0.002168618681780946,0.0015334449756951385,6.329032258064515,0.5961824161637689
27,6.358064516129032,0.02737187540076918,0.0,0.0,0.0,0.0,6.358064516129032,0.5961824161637689
28,6.401612903225805,0.030793359825865403,0.0,0.0,0.0,0.0,6.401612903225805,0.5961824161637689
29,6.3193548387096765,0.020528906550577042,0.0013726835964310226,0.0009706338794599141,0.008634622622711271,0.006105600209505912,6.3193548387096765,0.5961824161637689
30,6.3,0.05474375080153898,0.0030885380919698007,0.0012132923493248925,0.019324949631368032,0.007474663641098967,6.3,0.5961824161637689
31,6.3193548387096765,0.013685937700384903,0.0,0.0,0.0,0.0,6.3193548387096765,0.5961824161637689
32,6.36290322580645,0.07869414177721257,0.0,0.0,0.0,0.0,6.36290322580645,0.5961824161637689
33,6.348387096774193,0.020528906550577042,0.003774879890185312,0.0016986092890548497,0.024034139969446717,0.01086092344960186,6.348387096774193,0.5961824161637689
34,6.338709677419354,0.027371875400769807,0.0030885380919698007,0.0012132923493248925,0.019643766466668138,0.007775247036028487,6.338709677419354,0.5961824161637689
35,6.3193548387096765,0.006842968850192452,0.00034317089910775565,0.00024265846986497853,0.0021719396904819888,0.0015357932834680252,6.3193548387096765,0.5961824161637689
36,6.3435483870967735,0.010264453275288677,0.0,0.0,0.0,0.0,6.3435483870967735,0.5961824161637689
37,6.324193548387096,0.010264453275288677,0.0006863417982155113,0.00048531693972995706,0.004330595346159806,0.0030621933358445028,6.324193548387096,0.5961824161637689
38,6.329032258064515,0.006842968850192138,0.0,0.0,0.0,0.0,6.329032258064515,0.5961824161637689
39,6.3435483870967735,0.010264453275288677,0.0,0.0,0.0,0.0,6.3435483870967735,0.5961824161637689
40,6.37258064516129,0.023950390975673582,0.0,0.0,0.0,0.0,6.37258064516129,0.5961824161637689
41,6.449999999999999,0.05132226637644276,0.00034317089910775565,0.00024265846986497853,0.0021885447339872028,0.0015475348223324597,6.449999999999999,0.5961824161637689
